z_hat,Q_over_D2_W_s
6.018055565953468,1.4438071974230198
6.274557182799642,1.527738698708757
7.013284392783201,1.6628722876614022
8.173098010646859,1.9700558012878144
8.640838562246442,2.4696649421837926
9.658156976445461,2.144313814840796
9.793469066156433,2.6881150524218165
11.25536327201121,2.613231677853353
12.406680237585336,2.9258878043056367
13.867365352097332,3.095975719400754
28.989161220038362,17.348574829775153
32.85612288866302,19.42421865872215
39.370067840222575,23.67190061697736
41.623188654889276,27.263576191131484
45.24693064245735,26.50408913489219
50.57402191918512,30.525485266165386
55.74726493637584,37.20078867528617
60.600658229162335,37.20078867528617
64.96640299077936,39.363347532246515
