table_number,table_name,data_group,source_study,airflow_normal_m3_s,z_m,b_smooth_m,U_smooth_m_s,q_m3_s,gamma,value_basis,source
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,0.71,0.079,0.388,0.0003,,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,1.0,0.1,0.385,0.0003,2.78,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,1.5,0.13,0.376,0.0003,2.4,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,2.23,0.167,0.367,0.0003,2.19,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,2.78,0.2,0.369,0.0003,1.89,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,3.22,0.228,0.373,0.0004,1.64,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,3.76,0.261,0.371,0.0004,1.5,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.0004,4.05,0.276,0.361,0.0004,1.53,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,0.71,0.088,0.53,0.0004,,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,1.0,0.11,0.533,0.0004,1.43,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,1.5,0.144,0.509,0.0004,1.28,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,2.23,0.189,0.463,0.0005,1.31,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,2.78,0.221,0.466,0.0005,1.19,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,3.22,0.248,0.484,0.0005,1.03,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,3.76,0.285,0.478,0.0005,0.94,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Kobus data,0.00057,4.15,0.316,0.426,0.0006,1.08,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.367,5.0,1.674,1.238,0.0567,,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.367,14.0,3.067,1.375,0.0659,0.32,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.367,23.0,4.444,1.266,0.0785,0.29,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.367,32.0,5.43,1.141,0.097,0.36,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.367,42.0,5.609,1.262,0.1316,0.4,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.367,48.0,5.048,1.593,0.1674,0.38,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.443,5.0,1.544,1.438,0.0685,,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.443,15.0,2.053,1.517,0.0809,0.64,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.443,24.0,2.888,1.187,0.0968,0.89,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.443,34.0,4.115,0.878,0.1236,1.35,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.443,42.7,5.339,1.068,0.1629,0.79,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.66,4.5,1.191,1.226,0.1134,,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.66,7.6,1.52,1.501,0.1197,1.23,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.66,17.0,2.948,1.57,0.1442,0.55,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.66,26.0,4.467,1.116,0.1792,0.8,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.66,32.0,5.281,0.877,0.2138,1.29,smooth values at measurement heights,"Milgram (1983), Table 3"
3,Secondary measurement-height plume properties and momentum amplification,secondary,Topham data,0.66,42.0,5.771,1.221,0.3153,0.89,smooth values at measurement heights,"Milgram (1983), Table 3"
