z_hat,M_over_D2_W_s2
6.017358148050683,0.11147303135339531
6.974074005473094,0.13851902753946246
8.083834669012179,0.1797699017767424
8.812056604716975,0.2185861503424673
9.714707905407945,0.18371767615786394
9.842949363394771,0.25448393843197187
10.719725417545453,0.2185861503424673
11.826665246670904,0.24366460790543829
12.577913130043171,0.2775851484055038
14.219206169711619,0.296277119197087
29.04303184409913,1.242623671911505
34.49338763797463,1.5109332657080972
38.52865263153145,1.7590695822349833
43.03847602958756,2.0929300664290964
47.466256957831874,2.0479566274518466
53.019174145537576,2.384286778806727
57.07859888469562,2.6578367484940806
61.44173466382551,2.8368096047762674
65.34460771841817,3.231721758481952
